date,home,away,FTR,home_score,away_score,h_fouls,h_yellow_cards,h_red_cards,h_off_sides,h_corners,h_saves,a_fouls,a_yellow_cards,a_red_cards,a_off_sides,a_corners,a_saves
sbado 29 abril,Chiapas,Santos,D,2,2,12,1,0,0,8,2,10,0,0,1,3,4
sbado 29 abril,Morelia,Pumas UNAM,H,4,0,12,2,0,5,4,1,14,3,0,0,8,1
sbado 29 abril,U.A.N.L,Tijuana,H,3,0,0,0,0,0,0,0,0,0,0,0,0,0
sbado 29 abril,Guadalajara,Len,D,1,1,9,0,0,2,2,5,19,3,0,0,3,5
sbado 29 abril,Pachuca,Cruz Azul,D,2,2,10,3,0,5,4,4,21,5,0,1,3,4
sbado 29 abril,Amrica,Atlas,A,1,2,11,3,0,3,16,4,10,1,0,4,7,6
domingo 13 agosto,Pumas UNAM,Leon,H,2,0,15,1,0,0,6,2,12,3,1,0,6,4
domingo 13 agosto,Santos,Veracruz,A,2,3,10,0,0,2,13,3,13,0,0,0,1,6
viernes 28 julio,Puebla,Morelia,D,1,1,15,3,0,2,8,1,14,3,0,1,3,3
viernes 28 julio,Atlas,Pumas UNAM,H,2,1,17,1,0,5,4,1,18,5,0,2,4,1
viernes 21 julio,Morelia,Monterrey,D,0,0,0,0,0,0,0,0,0,0,0,0,0,0
viernes 21 julio,Tijuana,Cruz Azul,A,0,2,21,4,0,4,4,0,20,3,0,6,6,2
viernes 11 agosto,Puebla,Tijuana,D,1,1,13,1,0,4,5,2,16,2,0,1,6,4
viernes 11 agosto,Atlas,Amrica,A,0,1,17,3,0,4,3,3,21,4,1,3,3,4
martes 22 agosto,Pachuca,Veracruz,H,4,1,0,0,0,0,0,0,0,0,0,0,0,0
martes 22 agosto,Atlas,Leon,D,1,1,6,1,1,0,6,9,18,4,0,3,6,4
martes 22 agosto,Pumas UNAM,Morelia,A,1,2,13,4,0,1,8,3,16,4,0,2,5,6
martes 22 agosto,Quertaro,Tijuana,A,1,3,11,1,1,3,3,3,18,3,0,3,1,1
sbado 21 enero,Cruz Azul,Monterrey,D,2,2,0,0,0,0,0,0,0,0,0,0,0,0
sbado 21 enero,Morelia,Santos,D,1,1,0,0,0,0,0,0,0,0,0,0,0,0
sbado 21 enero,U.A.N.L,Amrica,H,4,2,0,0,0,0,0,0,0,0,0,0,0,0
sbado 21 enero,Len,Pumas UNAM,A,0,1,0,0,0,0,0,0,0,0,0,0,0,0
sbado 21 enero,Necaxa,Pachuca,H,1,0,0,0,0,0,0,0,0,0,0,0,0,0
